"Spontaneous_deamination_of_5-methylcytosine"	"AID/APOBEC_family_of_cytidine_deaminases"	"Failure_of_DNA_double-strand_break-repair_by_homologous_recombination"	"Smoking"	"Unknown"	"Defective_DNA_mismatch_repair"	"Ultraviolet_light_exposure"	"Polymerase_activity"	"Alkylating_agents"	"Aristolochic_acid_exposure"	"Tobacco_chewing"
"TCGA-97-7938-01A"	0	0.0720472366756668	0	0.571173709318706	0.107077949565862	0.140343876798489	0	0	0	0	0
"TCGA-MP-A4TJ-01A"	0.214364416782133	0	0	0.179986497845758	0.308205284956591	0.148168855015958	0	0	0	0	0
"TCGA-97-7546-01A"	0	0	0	0.663153522833843	0.143593924084834	0.0829713436201212	0	0	0	0	0
"TCGA-44-7670-01A"	0	0.0674340813984437	0	0.712413077154323	0.0833185513579459	0	0	0	0	0	0
"TCGA-62-A46Y-01A"	0.528444295753058	0	0	0	0.144488802532365	0	0.0889854266296139	0.16281046453243	0	0	0
"TCGA-78-8640-01A"	0	0.0775737021119363	0.146618724350778	0.555291264415692	0	0.0870186416724701	0	0	0	0	0
"TCGA-J2-A4AG-01A"	0.235389783627753	0	0	0.253882273975789	0.180798272709369	0	0	0	0.0975570617756818	0	0.109694996991077
"TCGA-95-7043-01A"	0	0	0	0.827645639068312	0	0	0	0	0	0	0
"TCGA-MP-A4SW-01A"	0.454871240465097	0	0.0835080564757544	0	0	0.08469629141886	0.162874467341292	0	0	0	0
"TCGA-55-A48X-01A"	0	0	0	0.88212557575196	0	0	0	0	0	0	0
"TCGA-17-Z030-01A"	0	0	0	0.835224066904906	0	0.0997906130248101	0	0	0	0	0
"TCGA-17-Z003-01A"	0.0858341702548842	0	0.201530195717339	0.309842439098287	0.11720193856382	0	0	0	0	0	0
"TCGA-97-8547-01A"	0.126786143860968	0.22214116066864	0	0	0	0.407010789270416	0.0629659898008216	0.0999261999672368	0	0	0
"TCGA-55-8620-01A"	0	0	0	0.736214552453912	0	0.182834028287719	0	0	0	0	0
"TCGA-55-8092-01A"	0	0.143747331302514	0	0.562158382729346	0	0.0968547988719772	0.0660574828842197	0	0	0	0
"TCGA-78-7163-01A"	0.636542966616769	0	0	0.196259793767237	0.151506664688881	0	0	0	0	0	0
"TCGA-71-8520-01A"	0.187711906995198	0.166344992082466	0	0.174792527962	0	0.311936951167616	0	0.0985618782352826	0	0	0
"TCGA-86-8279-01A"	0	0	0	0.845980665010982	0	0.101614349638231	0	0	0	0	0
"TCGA-05-5425-01A"	0	0	0	0.680358864008257	0.123233109453315	0	0	0	0	0	0
"TCGA-05-4390-01A"	0	0	0	0.833446981382428	0	0.0752198784864211	0	0	0	0	0
"TCGA-78-7152-01A"	0	0.270244490514549	0	0.0945441876453613	0	0	0.137879450933478	0	0	0	0.295509660810497
"TCGA-05-4427-01A"	0	0	0	0.712063357223663	0	0	0	0	0	0	0
"TCGA-86-8074-01A"	0.191318527931161	0	0.0961100367268444	0.0926540786361646	0.292650301741705	0	0	0	0.0841854136969301	0	0
