gene_id	gene_name
gene14440	SNX18P15
gene14441	SNX18P16
gene14442	ANKRD20A12P
gene38360	ANKRD20A15P
gene38362	LOC105379272
gene38364	SNX18P22
gene38361	LOC105379271
gene38366	LOC100996703
gene38367	LOC105379274
gene38370	LOC642204
gene38368	MAFIP
gene54255	LOC100996362
gene54256	LOC389831
gene54257	LOC105379275
gene54259	LOC107987358
gene44638	LOC100287188
gene44639	MGC70870
gene44640	LOC105379279
gene44642	LOC101929749
gene44641	LOC105379280
gene44643	LOC105379281
gene60911	KIR3DL2
gene60912	KIR2DS1
gene60913	KIR2DS5
gene60914	KIR2DL5A
gene60915	KIR3DS1
gene60916	KIR2DL4
gene60918	KIR2DL2
gene60919	KIR2DS2
gene60920	KIR3DL3
gene60921	LILRP2
gene54278	LOC101927555
gene54279	LOC107987359
gene54280	LOC100288929
gene54281	LOC100288966
gene54314	LOC100289026
gene54316	LOC107987360
gene54315	LOC105379417
gene54322	LOC101927088
gene54324	LOC389834
gene54323	LOC100233156
gene54260	LOC100996375
gene54262	LOC105379420
gene54261	LOC283788
gene54263	LOC100507395
gene54267	RNA18SN5
gene54268	RNA5-8SN5
gene54269	RNA28SN5
gene54266	RNA45SN5
gene54265	LOC100507412
gene54270	LOC100286895
gene54271	LOC112268313
gene11995	LOC105379426
gene11997	LOC101059949
gene11998	LOC107987361
gene11996	LOC101928669
gene54274	LOC100287610
gene54275	LOC102723630
gene56165	TRV-AAC6-1
gene56166	TRR-CCG1-1
gene56167	TRK-TTT7-1
gene56168	TRA-TGC6-1
gene56171	TRA-TGC1-1
gene56172	TRF-GAA1-1
gene56173	TRA-AGC1-1
gene56174	TRF-GAA3-1
gene56175	TRA-TGC5-1
gene56176	TRA-AGC2-1
gene56178	RPL13P
gene56177	LINC01623
gene56179	TRA-AGC2-2
gene56180	TRR-CCG1-2
gene56182	TRNAL-CAA
gene56183	HCG14
gene56184	TRIM27
gene56186	TRF-GAA1-2
gene56187	TRE-CTC1-6
gene56188	HCG15
gene56189	TRL-AAG3-1
gene56190	ZNF311
gene56191	LOC105375002
gene56193	OR2W1
gene56194	OR2B3
gene56195	OR2J1
gene56197	OR2J3
gene56196	LOC105375003
gene56199	OR2J2
gene56200	LOC101929006
gene56203	OR14J1
gene56204	OR11A1
gene56205	OR10C1
gene56206	LOC105379641
gene56207	OR2H1
gene56211	MAS1L
gene56212	RPS17P1
gene56210	LOC105375008
gene56213	LOC105375009
gene56214	LINC01015
gene56217	UBD
gene56220	SNORD32B
gene56221	RPL13AP
gene56222	OR2H2
gene56223	GABBR1
gene56224	SUMO2P1
gene56225	MOG
gene56226	ZFP57
gene56227	3.8-1.5
gene56228	HCG4
gene56229	HLA-V
gene56230	RPL7AP7
gene56232	HLA-G
gene56233	HCGVIII-2
gene56234	LOC105375010
gene56235	HCP5B
gene56236	HLA-H
gene56238	LOC112267924
gene56237	HCG4B
gene56241	HLA-A
gene56245	3.8-1.2
gene56248	HLA-J
gene56249	ETF1P1
gene56246	ZNRD1ASP
gene56250	ZNRD1
gene56251	PPP1R11
gene56252	RNF39
gene56253	TRIM31
gene56254	TRIM31-AS1
gene56255	TRIM40
gene56256	TRIM10
gene56257	TRIM15
gene56259	PAIP1P1
gene56258	TRIM26
gene56260	HCG17
gene56262	HCG18
gene56263	TRIM39
gene56264	TRIM39-RPP21
gene56265	RPP21
gene56268	MICC
gene56269	LINC02569
gene56270	GNL1
gene56271	DHX16
gene56272	PPP1R18
gene56273	NRM
gene56274	RPL7P4
gene56276	MDC1-AS1
gene56275	MDC1
gene56277	TUBB
gene56278	FLOT1
gene56279	DDR1
gene56280	MUC21
gene56281	MUC22
gene56282	HCG22
gene56283	MICB-DT
gene56284	MICB
gene56285	PPIAP9
gene56286	RPL15P4
gene56287	MCCD1
gene56290	SNORD117
gene56289	ATP6V1G2-DDX39B
gene56288	DDX39B
gene56291	TNF
gene56292	LTB
gene56293	LST1
gene56294	NCR3
gene56298	MSH5
gene56299	SAPCD1
gene56297	MSH5-SAPCD1
gene56300	SAPCD1-AS1
gene56301	VWA7
gene56302	VARS
gene56303	LSM2
gene56304	HSPA1L
gene56305	HSPA1A
gene56306	HSPA1B
gene56308	SNORD48
gene56309	SNORD52
gene56307	C6orf48
gene56310	NEU1
